,DLE CATEGORY,Column,DLE CATEGORY DESCRIPTION,PLO
4, ,How the program design and requirements support the attainment of student learning outcomes (discussed in detail below):,MA Degree Level Expectation based on the Ontario Council of Academic Vice Presidents (OCAV) DLEs,"MA Program Learning Outcomes By the end of the program, graduates will have demonstrated:"
5,Depth and Breadth of Knowledge," 1.GRK/LAT 1000 and/or CLA 18xx courses, preparation for sight and qualifying examinations. 2.GRK/LAT 1000 and/or CLA 18xx courses, preparation for sight and qualifying examinations."," A systematic understanding of knowledge, and a critical awareness of current problems and/or new insights, much of which is at, or informed by, the forefront of the academic discipline, field of study, or area of professional practice.",
5,Depth and Breadth of Knowledge," 1.GRK/LAT 1000 and/or CLA 18xx courses, preparation for sight and qualifying examinations. 2.GRK/LAT 1000 and/or CLA 18xx courses, preparation for sight and qualifying examinations."," A systematic understanding of knowledge, and a critical awareness of current problems and/or new insights, much of which is at, or informed by, the forefront of the academic discipline, field of study, or area of professional practice.",Ability to read the core authors of ancient Greek and Latin literature at sight and to translate them into English. 
5,Depth and Breadth of Knowledge," 1.GRK/LAT 1000 and/or CLA 18xx courses, preparation for sight and qualifying examinations. 2.GRK/LAT 1000 and/or CLA 18xx courses, preparation for sight and qualifying examinations."," A systematic understanding of knowledge, and a critical awareness of current problems and/or new insights, much of which is at, or informed by, the forefront of the academic discipline, field of study, or area of professional practice.",Familiarity with the major genres of Greek and/or Latin literature (both languages for Literature stream students; language of specialization for Ancient History students); understanding of their formal features and relation to one another and to their social/ historical context.
6,Research and Scholarship," 1.CLA 5xxx seminars, Graduate Research Paper. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.GRK/LAT 1000 and 18xx courses, CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 4.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 5.CLA 5xxx seminars, Graduate Research Paper."," A conceptual understanding and methodological competence that i) Enables a working comprehension of how established techniques of research and inquiry are used to create and interpret knowledge in the discipline, ii) Enables a critical evaluation of current research and advanced research and scholarship in the discipline or area of professional competence, and iii) Enables a treatment of complex issues and judgments based on established principles and techniques; and, on the basis of that competence, has shown at least one of the following: i) The development and support of a sustained argument in written form; or ii) Originality in the application of knowledge.",
6,Research and Scholarship," 1.CLA 5xxx seminars, Graduate Research Paper. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.GRK/LAT 1000 and 18xx courses, CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 4.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 5.CLA 5xxx seminars, Graduate Research Paper."," A conceptual understanding and methodological competence that i) Enables a working comprehension of how established techniques of research and inquiry are used to create and interpret knowledge in the discipline, ii) Enables a critical evaluation of current research and advanced research and scholarship in the discipline or area of professional competence, and iii) Enables a treatment of complex issues and judgments based on established principles and techniques; and, on the basis of that competence, has shown at least one of the following: i) The development and support of a sustained argument in written form; or ii) Originality in the application of knowledge.",The ability to formulate a coherent research question and identify its logical components. 
6,Research and Scholarship," 1.CLA 5xxx seminars, Graduate Research Paper. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.GRK/LAT 1000 and 18xx courses, CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 4.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 5.CLA 5xxx seminars, Graduate Research Paper."," A conceptual understanding and methodological competence that i) Enables a working comprehension of how established techniques of research and inquiry are used to create and interpret knowledge in the discipline, ii) Enables a critical evaluation of current research and advanced research and scholarship in the discipline or area of professional competence, and iii) Enables a treatment of complex issues and judgments based on established principles and techniques; and, on the basis of that competence, has shown at least one of the following: i) The development and support of a sustained argument in written form; or ii) Originality in the application of knowledge.",The ability to locate and critically evaluate scholarship on a topic. 
6,Research and Scholarship," 1.CLA 5xxx seminars, Graduate Research Paper. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.GRK/LAT 1000 and 18xx courses, CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 4.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 5.CLA 5xxx seminars, Graduate Research Paper."," A conceptual understanding and methodological competence that i) Enables a working comprehension of how established techniques of research and inquiry are used to create and interpret knowledge in the discipline, ii) Enables a critical evaluation of current research and advanced research and scholarship in the discipline or area of professional competence, and iii) Enables a treatment of complex issues and judgments based on established principles and techniques; and, on the basis of that competence, has shown at least one of the following: i) The development and support of a sustained argument in written form; or ii) Originality in the application of knowledge.","Awareness of and ability to use the basic research tools appropriate to their area of specialization (L’Année Philologique, the TLG, etc.) "
6,Research and Scholarship," 1.CLA 5xxx seminars, Graduate Research Paper. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.GRK/LAT 1000 and 18xx courses, CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 4.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 5.CLA 5xxx seminars, Graduate Research Paper."," A conceptual understanding and methodological competence that i) Enables a working comprehension of how established techniques of research and inquiry are used to create and interpret knowledge in the discipline, ii) Enables a critical evaluation of current research and advanced research and scholarship in the discipline or area of professional competence, and iii) Enables a treatment of complex issues and judgments based on established principles and techniques; and, on the basis of that competence, has shown at least one of the following: i) The development and support of a sustained argument in written form; or ii) Originality in the application of knowledge.",The ability to choose the best evidence to support an argument. 
6,Research and Scholarship," 1.CLA 5xxx seminars, Graduate Research Paper. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.GRK/LAT 1000 and 18xx courses, CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 4.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 5.CLA 5xxx seminars, Graduate Research Paper."," A conceptual understanding and methodological competence that i) Enables a working comprehension of how established techniques of research and inquiry are used to create and interpret knowledge in the discipline, ii) Enables a critical evaluation of current research and advanced research and scholarship in the discipline or area of professional competence, and iii) Enables a treatment of complex issues and judgments based on established principles and techniques; and, on the basis of that competence, has shown at least one of the following: i) The development and support of a sustained argument in written form; or ii) Originality in the application of knowledge.",The ability to carry out autonomous research of limited scope.
